         380999 function calls (377998 primitive calls) in 2.968 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
59825/59821    0.021    0.000    0.026    0.000 {built-in method builtins.isinstance}
    22175    0.049    0.000    0.049    0.000 {method 'match' of 're.Pattern' objects}
    17395    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    14235    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
    14172    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
    14158    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
    13299    0.013    0.000    0.013    0.000 {method 'group' of 're.Match' objects}
    13029    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
    10791    0.011    0.000    0.019    0.000 /usr/lib/python3.12/_markupbase.py:44(updatepos)
     9330    0.002    0.000    0.002    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1586(__bool__)
     8338    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     8082    0.019    0.000    0.019    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:156(setup)
     8081    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
     7982    0.008    0.000    0.008    0.000 {method 'count' of 'str' objects}
     5908    0.003    0.000    0.015    0.000 /usr/lib/python3.12/html/__init__.py:122(unescape)
5768/5761    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     5644    0.017    0.000    0.066    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
     5627    0.003    0.000    0.004    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
     5556    0.003    0.000    0.006    0.000 {built-in method builtins.next}
     5551    0.010    0.000    0.068    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2303(search)
     5513    0.003    0.000    0.003    0.000 {method 'start' of 're.Match' objects}
     4630    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     4630    0.002    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
4531/1584    0.017    0.000    0.037    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2336(_matches)
3874/3872    0.002    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2203(_normalize_search_value)
     3550    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     2798    0.009    0.000    0.051    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:2240(search_tag)
     2763    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2751    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2717    0.002    0.000    0.003    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:773(handle_data)
     2710    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     2707    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0xa43b40}
     2704    0.009    0.000    0.011    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:572(pushTag)
     2704    0.015    0.000    0.056    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/element.py:1199(__init__)
     2704    0.001    0.000    0.001    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
     2704    0.009    0.000    0.067    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:160(handle_endtag)
     2704    0.002    0.000    0.002    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
     2703    0.018    0.000    0.117    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:722(handle_starttag)
     2703    0.006    0.000    0.008    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:558(popTag)
     2703    0.006    0.000    0.023    0.000 /usr/lib/python3.12/html/parser.py:345(check_for_whole_start_tag)
     2703    0.014    0.000    0.137    0.000 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
     2703    0.055    0.000    0.281    0.000 /usr/lib/python3.12/html/parser.py:301(parse_starttag)
