         374042 function calls (371003 primitive calls) in 1.890 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.889    1.889 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/financial.py:63(main)
        1    0.000    0.000    1.302    1.302 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/financial.py:9(get_html)
        1    0.000    0.000    1.302    1.302 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/api.py:62(get)
        1    0.000    0.000    1.302    1.302 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/api.py:14(request)
        1    0.000    0.000    1.302    1.302 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000    1.299    1.299 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/sessions.py:673(send)
      315    0.001    0.000    1.161    0.004 /usr/lib/python3.12/socket.py:693(readinto)
      315    0.002    0.000    1.158    0.004 /usr/lib/python3.12/ssl.py:1237(recv_into)
      315    0.001    0.000    1.156    0.004 /usr/lib/python3.12/ssl.py:1095(read)
      315    1.155    0.004    1.155    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.991    0.991 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/requests/adapters.py:613(send)
        1    0.000    0.000    0.989    0.989 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/connectionpool.py:592(urlopen)
        1    0.000    0.000    0.989    0.989 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/connectionpool.py:377(_make_request)
        1    0.000    0.000    0.876    0.876 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/urllib3/connection.py:485(getresponse)
        1    0.000    0.000    0.876    0.876 /usr/lib/python3.12/http/client.py:1384(getresponse)
        1    0.000    0.000    0.876    0.876 /usr/lib/python3.12/http/client.py:324(begin)
       51    0.000    0.000    0.874    0.017 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.796    0.796 /usr/lib/python3.12/http/client.py:291(_read_status)
        1    0.001    0.001    0.587    0.587 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/financial.py:23(get_financial_data)
        1    0.000    0.000    0.493    0.493 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:122(__init__)
        1    0.000    0.000    0.492    0.492 /home/elisei/programs_21/DS_ML/DS_Bootcamp.Day03-1/src/ex04/helenwav/lib/python3.12/site-packages/bs4/__init__.py:471(_feed)
